用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,物品正常展示&领奖弹窗正常展示,无,"1. 通过邮件发送当前所有物品，验证物品框展示正常，数量正常展示，光标正常展示
2. 类型
","1. 点击领取，正常弹出恭喜获得，物品框切换为已领取状态
2. 炮台，翅膀，神器，战神左上角类型成为图片里的，非配置。验证正常展示
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,物品角标,无,"1. 加赠
2. +1
3. 上箭头
4. 额外加赠
","1. 出现场景：最强王者--助力礼包
2. 出现场景：最强王者--助力礼包
3. 出现场景：最强王者--助力礼包
4. 出现场景：购买主力礼包，获得加赠权益，领取福卡奖励可获得额外加赠。
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,预览,无,"1. 箱子预览
2. 物品预览
3. 战神预览
4. 炮翅预览
","1. 打开后必定获得以下奖励 开启后获得以下全部奖励 此外还随机获得以下一项奖励 打开后随机获得其中一项奖励 打开后自选其中一项奖励
2. 物品描述展示正常 物品描述过长，描述框自动适应
3. 出现场景：战神献礼
4. 出现场景：赛季补给--赛季奖励
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,特权特效,无,"1. 新手七日福利出现
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,属性背景,无,"1. 背包四种颜色验证正常展示
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】道具图标+道具详情tips优化,,具体场景验证和历史一致,无,"1. 新手七日福利
2. 天选福利永久版
3. 最强王者
4. 月卡
5. 活动中心
6. 新手宝典指引
7. 战神献礼
8. 三日幸运礼
9. 神器
","1. 物品待领取状态 物品未解锁状态 物品已领取 物品预览
2. 物品待领取状态 物品未解锁状态 物品已领取 物品预览
3. 排位赛--福卡兑换 纳吉迎福
4. 典藏季卡 豪华月卡 超值周卡
5. 每日充值享好礼 充值送定海神针 五谷丰登 冲刺 五谷丰登 兑换
6. 物品待领取状态 物品未解锁状态 物品已领取
7. 仅有展示态
8. 物品待领取状态 物品已领取
9. 仅展示，无法点击
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】获取途径优化,,获取途径弹窗配置,无,"1. 内链描述展示
2. 在内链描述前配置【热门】
3. links配置内链
4. 涉及物品：炮台，翅膀，神器，英雄
5. 图标
","1. 依照配置展示 配置多个获取途径，前端正常展示，可以正常上下滑动
2. 前端展示热门图案
3. 前端提供给运营 配置为-1，前端展示为未开启
4. 一一点击确认配置的链接跳转至正确页面
5. 细分主题 1
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】大厅美术资源优化(待定),,大厅背景图,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】大厅美术资源优化(待定),,房间图片,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】等级提升弹窗重构,,等级提升弹窗正常展示,无,,,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,主页面入口图标展示s5,无,"1. 点击进入赛季补给页面
",,,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,赛季奖励,无,"1. 背景图片正常加载
2. 顶部展示赛季倒计时
3. 标题展示「s5赛季」
4. 按钮「获取经验」&「购买等级」
5. 奖励页面
6. 按钮「解锁高级奖励&『一键领取』
7. 全部奖励预览
","4. 点击获取经验 点击购买奖励
5. 免费奖励 高阶奖励 点击奖励弹出奖励介绍
6. 点击解锁高级奖励 点击一键领取
7. 点击跳转至预览界面
",,,1,功能测试,系统测试阶段
,就爱捕鱼70版本,【优化】S5赛季补给资源添加,,赛季任务,无,"1. 顶部展示：解锁至尊版战令，任务获得的赛季经验+50%（本次要改，要把奖励加成改为大量经验）
2. 任务
","1. 点击前往解锁
2. 每日任务 每周任务 无限挑战
",,,1,功能测试,系统测试阶段
